timestamp,Xsensor
0,-30.6538
1000,-29.4465
2000,-30.568599999999996
3000,-30.561600000000002
4000,-30.023799999999998
5000,-29.296
6000,-29.2163
7000,-28.9334
8000,-29.2196
9000,-28.3854
10000,-28.531299999999998
11000,-27.467200000000002
12000,-26.933699999999998
13000,-26.8976
14000,-26.7728
15000,-26.3577
16000,-25.8155
17000,-25.4923
18000,-25.2029
19000,-24.900199999999998
20000,-24.1657
21000,-23.2274
22000,-23.0861
23000,-22.4072
24000,-22.142500000000002
25000,-21.741400000000002
26000,-20.4988
27000,-20.2751
28000,-19.3534
29000,-19.142200000000003
30000,-18.3223
31000,-17.4949
32000,-16.524800000000003
33000,-16.557499999999997
34000,-15.996799999999999
35000,-14.8969
36000,-13.823500000000001
37000,-13.675
38000,-13.258600000000001
39000,-12.2805
40000,-12.2486
41000,-10.7282
42000,-10.4985
43000,-9.427810000000001
44000,-8.860289999999999
45000,-8.31912
46000,-7.47654
47000,-6.7808
48000,-5.9786
49000,-5.591959999999999
50000,-5.17082
51000,-4.063490000000001
52000,-3.6291
53000,-3.2414099999999997
54000,-1.87901
55000,-1.0654299999999999
56000,-1.20336
57000,-0.25186
58000,-0.37444299999999997
59000,0.5868180000000001
60000,1.25015
61000,1.9267800000000002
62000,2.22957
63000,3.1947900000000002
64000,3.4498200000000003
65000,3.31983
66000,4.68803
67000,5.224449999999999
68000,5.64167
69000,6.17569
70000,6.320810000000001
71000,7.04891
72000,7.0020500000000006
73000,7.9609000000000005
74000,7.959860000000001
75000,8.25998
76000,8.489180000000001
77000,9.32676
78000,9.1715
79000,9.35844
80000,10.154599999999999
81000,9.73005
82000,9.742469999999999
83000,12.7523
84000,10.434000000000001
85000,10.2971
86000,10.574800000000002
87000,10.425799999999999
88000,10.5733
89000,10.0363
90000,10.4027
91000,10.682
92000,10.579400000000001
93000,10.0072
94000,10.4518
95000,10.0543
96000,9.60339
97000,9.06124
98000,9.350710000000001
99000,8.69041
100000,8.69986
101000,8.5696
102000,7.97187
103000,7.69972
104000,7.57651
105000,7.16038
106000,6.48609
107000,6.33282
108000,5.91325
109000,5.52295
110000,4.407170000000001
111000,4.70453
112000,4.42064
113000,3.64323
114000,3.37051
115000,2.51179
116000,2.65426
117000,1.28924
118000,0.65393
119000,0.466955
120000,-0.20342100000000002
121000,-0.8693069999999999
122000,-1.28121
123000,-2.38201
124000,-2.79078
125000,-4.30349
126000,-4.150790000000001
127000,-4.02022
128000,-5.2496599999999995
129000,-5.6532100000000005
130000,-6.61369
131000,-6.8157499999999995
132000,-8.37928
133000,-8.27188
134000,-9.19499
135000,-10.0183
136000,-10.3226
137000,-11.107000000000001
138000,-12.2038
139000,-12.6223
140000,-13.532200000000001
141000,-13.7157
142000,-15.0556
143000,-16.1687
144000,-16.1568
145000,-16.988799999999998
146000,-17.4844
147000,-18.436899999999998
148000,-18.7286
149000,-19.8262
150000,-22.0318
151000,-21.5924
152000,-21.984099999999998
153000,-22.790799999999997
154000,-22.5086
155000,-23.467499999999998
156000,-24.278200000000002
157000,-24.839699999999997
158000,-25.358500000000003
159000,-19.412300000000002
160000,-25.7749
161000,-27.654999999999998
162000,-24.0676
163000,-27.642400000000002
164000,-28.1833
165000,-28.033
166000,-28.596
167000,-25.568800000000003
168000,-27.0549
169000,-29.5463
170000,-31.0466
171000,-28.9677
172000,-29.3902
173000,-29.4917
174000,-29.6975
175000,-29.626
176000,-29.6086
177000,-29.3275
178000,-29.7395
179000,-30.524800000000003
