timestamp,Xsensor
0,-20.2021
5000,-19.813399999999998
10000,-19.157
15000,-19.2952
20000,-18.1829
25000,-18.1843
30000,-17.1048
35000,-16.0128
40000,-14.3593
45000,-13.0041
50000,-11.2363
55000,-9.59284
60000,-7.948269999999999
65000,-6.33954
70000,-3.58732
75000,-1.83039
80000,-0.0368258
85000,1.87071
90000,3.24815
95000,4.61928
100000,5.3073500000000005
105000,6.2291
110000,7.47785
115000,7.87848
120000,8.42309
125000,7.74535
130000,7.17997
135000,7.065790000000001
140000,5.97903
145000,4.74087
150000,3.3698
155000,2.5939599999999996
160000,0.824922
165000,-1.51847
170000,-2.59209
175000,-4.06393
180000,-5.9664
185000,-8.724409999999999
190000,-10.7327
195000,-12.5312
200000,-14.690100000000001
205000,-16.4341
210000,-18.6381
215000,-19.284200000000002
220000,-20.753700000000002
225000,-21.8395
230000,-23.441399999999998
235000,-23.9651
240000,-24.774
245000,-25.5352
250000,-25.6507
