anomaly,train,duration,mean,var,kurtosis,skew,n_peaks,smooth10_n_peaks,smooth20_n_peaks,diff_peaks,diff_var,gaps_squared
1,1,279,0.8533143500000004,349.428315570552,0.6311173662492293,0.5520522696354362,4,3,2,4,127.11755417075726,309
1,1,476,-3.6393962662473798,647.6484614528283,-1.2436105409484075,0.42563226494501544,1,1,1,5,1.4893834768968182,644
1,1,594,11.707879512605043,559.287714097435,-0.28459255765001146,-0.8261874641934154,3,2,2,2,4.112280202789315,772
1,1,271,0.8486808235294109,546.6023846614632,-0.8870884659002058,-0.13849795146794944,2,2,2,3,24.757597647001074,339
0,0,255,10.58484607003891,527.9022783152659,-1.4843933372949993,-0.06015487817247709,1,1,1,78,0.554710136156453,357
0,1,252,6.326025494071147,664.3179719118848,-1.3023085613490453,-0.17924011305953602,1,1,1,66,0.6430575230937015,350
0,0,378,2.9907951973684206,384.37252690564605,-0.7363785554713211,-0.07829424959141429,1,1,1,111,0.3793821108523654,528
1,1,399,1.5204373150000003,165.2298873352987,-0.11148149809543417,0.5987550414758037,3,3,2,1,19.89722057280419,535
1,1,513,0.4173000953307391,173.34014553863702,-0.8595242578461675,0.3059972421010181,1,1,1,4,1.1309735970453785,707
0,1,315,4.411687239747635,631.100611241738,-1.2167116352009528,-0.12817592870965547,1,1,1,97,0.5293624016340368,441
0,1,229,-4.519542240000001,433.23061321283654,-1.2642493263381807,-0.23209084249298756,1,1,1,71,0.5909420092907242,289
0,0,238,8.207475334476989,672.0664935050506,-1.4771013537511237,-0.04423761434892948,1,1,1,66,0.8337571557841642,238
1,0,229,-1.5955612826086962,608.6603089339599,-0.8126226927979392,0.389746070487303,1,1,1,1,9.853793080883765,229
0,1,221,6.963036954954955,660.0910775784001,-1.3099544300386137,-0.16176704299634545,1,1,1,67,0.8710885684176065,221
1,1,200,-7.767890676616917,145.98433919622124,-1.376419358546606,-0.14665425077536115,8,2,1,21,4.03551653141992,200
0,1,249,2.5603076736000006,561.3340482840471,-1.4583843794155242,-0.03940072833747554,1,1,1,67,2.0902875287367304,249
0,1,238,2.181008912133891,340.6273747636508,-1.0120805740067564,-0.3630823200201357,1,1,1,54,1.6851626846655487,238
0,0,213,-1.1042377383177568,243.5482513359998,-1.0863347541610358,-0.32154068489461274,1,1,1,47,1.5541308586841698,213
1,1,202,-5.584398348768472,192.62978945958082,-1.2649221065817802,-0.1468441553509796,2,1,1,29,2.3599440551902213,202
1,0,267,3.992460474626865,538.2671391492646,-1.0296607520157788,-0.31204672553459334,1,1,1,18,5.083800741327839,267
1,0,281,5.289524934397163,422.6767056007609,-0.6099811249142237,-0.5351140290160574,3,2,1,1,22.744860842710054,281
1,1,183,-5.040148853641304,229.579739302551,0.5374727443578151,-1.5093964027183444,6,1,1,14,7.51732116871194,183
0,1,243,2.3466111065573774,890.8867435407418,-1.487808931382656,0.0022501749039919162,1,1,1,47,3.0884833911403047,243
1,1,201,-8.968957113861387,405.64902046655845,-1.3019901857550658,-0.18113608404320078,1,1,1,12,6.703092841414198,201
0,1,208,0.9865551913875611,694.1012221737459,-1.4755890643097807,-0.03125511477943603,1,1,1,50,2.092547200871095,208
0,1,210,2.9755845450236964,837.0861073143552,-1.4931356400078035,-0.00934634025469581,1,1,1,42,2.4948722929977203,210
0,1,202,7.01065757635468,501.3480960466015,-0.8336900319426261,-0.47895679579264083,2,1,1,36,3.2894368618308616,202
0,0,181,-0.47432315384615514,228.2520978600225,-0.7797241551683602,-0.6228378324931239,1,1,1,38,1.2148935383270492,181
1,1,225,2.5735809424778764,399.1598831456679,-1.2579965834416336,-0.18486716802377448,4,2,1,13,6.237984693873817,293
0,0,194,-2.1828606729743587,123.41850460009114,-0.8880815455825011,-0.3856325215567751,3,1,1,45,2.401660562436651,246
1,0,197,3.9861305979899493,142.49355135748183,-1.0926725484230786,0.3714784956999055,1,1,1,19,3.387310865985416,237
0,1,202,0.6426002753694582,228.83340565612102,-1.2901575129495169,-0.1535840082192604,1,1,1,55,1.8863570726148884,264
0,1,229,2.1019733434782606,364.54762997174186,-1.4942384421491512,0.01984429701803169,1,1,1,64,2.3320675067498904,289
0,1,185,-7.543538026881721,87.46723383396741,-1.1978992609144303,-0.20818055382919676,3,1,1,41,1.5755302193307805,253
0,0,226,6.124206829515418,645.8078624865879,-1.1283898004965605,-0.260725797263403,1,1,1,57,1.8920363921852594,306
0,1,212,3.7435944813084108,640.7314864300141,-1.1666609687637206,-0.26317816762846663,1,1,1,51,1.5349787323895154,296
0,1,191,6.116210595854922,708.3659690789164,-1.1530599379094728,-0.2862722087532433,1,1,1,31,1.791267707109719,265
0,1,196,0.01797529949238665,773.9083804899865,-1.485069459084988,-0.0666227459606804,1,1,1,44,1.4800673793906631,272
0,1,200,-4.013059732673267,703.062389273444,-1.5032768274517874,0.04228171716515398,1,1,1,53,2.0956523023503575,280
0,1,181,-5.132656550000001,301.7189325157163,-1.071967487739729,-0.27043835214809536,2,1,1,41,4.688929118648004,247
0,1,198,4.06904122,444.51811298617963,-1.4026988422537554,-0.1200316282187603,1,1,1,34,2.541526043027536,264
0,0,192,4.740144067357513,273.36562420275044,-0.7344110338603702,-0.5283865011298792,2,1,1,43,2.576367494799028,244
0,0,173,-2.702156040229885,120.20044668510907,-0.5898995336961526,-0.6651712810061888,2,1,1,47,2.5786907004658177,215
0,1,204,0.7183812135922327,311.0488885269024,-1.4721426388551366,-0.015080378461169195,2,1,1,34,2.7770370187511983,268
0,1,195,-0.13124625000000045,243.84856653462865,-1.4229913972403703,-0.06202995007749861,2,1,1,41,2.397146265761768,227
